,SMILES,Primary,Score,Confirmatory
0,Brc1[nH]nc2ccccc12,0,0.0,
1,Brc1c(CSc2nc3ccccc3o2)nc2ncccn12,0,0.0,
2,Brc1c(CSc2nnc(-c3ccco3)o2)nc2ccccn12,0,0.0,
3,Brc1c(CSc2nncn2-c2ccccc2)nc2ncccn12,0,0.0,
4,Brc1c(CSc2nncn2-c2ccccc2)nc2sccn12,0,0.0,
5,Brc1c(NC2=NCCN2)ccc2nccnc12,0,0.0,
6,Brc1c(OCCOCCn2cncn2)ccc2ccccc12,0,0.0,
7,Brc1cc(Br)c2ncnc(N3CCCCC3)c2c1,0,0.0,
8,Brc1cc2[nH]cnc2c2ccccc12,0,0.0,
9,Brc1cc2c(cc1COc1ccc(-c3nn[nH]n3)cc1)OCO2,0,0.0,
10,Brc1cc2c(cc1Cn1c(-c3cncs3)nc3ccccc31)OCO2,0,0.0,
11,Brc1ccc(-c2cn3cccnc3n2)cc1,0,0.0,
12,Brc1ccc(-c2cnc(-c3cccs3)o2)cc1,0,0.0,
13,Brc1ccc(-c2cnc3n2CCCC3)cc1,1,100.0,1.0
14,Brc1ccc(-c2cnnc(N3CCCC3)n2)cc1,0,0.0,
15,Brc1ccc(-c2csc(/N=C/N3CCOCC3)n2)cc1,0,0.0,
16,Brc1ccc(-c2nc(-c3ccccc3)no2)o1,0,0.0,
17,Brc1ccc(-c2nc(-c3ccccn3)no2)o1,0,0.0,
18,Brc1ccc(-c2nc(-c3cccnc3)no2)o1,0,0.0,
19,Brc1ccc(-c2nc(-c3ccncc3)no2)o1,0,0.0,
20,Brc1ccc(-c2nc3ccccc3s2)s1,0,0.0,
21,Brc1ccc(-c2nn3c(-c4ccccn4)nnc3s2)o1,0,0.0,
22,Brc1ccc(-c2nn3c(-c4ccco4)nnc3s2)o1,0,0.0,
23,Brc1ccc(-c2nn3c(-c4ccncc4)nnc3s2)o1,1,100.0,
24,Brc1ccc(-c2nn3c(Cc4ccccc4)nnc3s2)o1,0,0.0,
25,Brc1ccc(-c2nnc(-c3ccc4c(c3)OCO4)o2)o1,0,0.0,
26,Brc1ccc(-c2nnc(-c3ccccc3Br)o2)cc1,0,0.0,
27,Brc1ccc(-c2nnc(-c3ccco3)o2)cc1,0,0.0,
28,Brc1ccc(-c2nnc3ccc(N4CCN(c5ccccc5)CC4)nn23)cc1,0,0.0,
29,Brc1ccc(-c2nnc3n2-c2ccccc2CC3)cc1,0,0.0,
30,Brc1ccc(-c2nnc3sc(CN4CCC5(CC4)OCCO5)cn23)cc1,0,0.0,
31,Brc1ccc(-c2nnc3sc(CN4CCN(c5ccccc5)CC4)cn23)cc1,0,0.0,
32,Brc1ccc(-c2nnc3sc(CN4CCc5ccccc5C4)cn23)cc1,0,0.0,
33,Brc1ccc(-c2nnc3sc(CNC4CCCC4)cn23)cc1,0,0.0,
34,Brc1ccc(-c2nnc3sc(CNCc4ccc5c(c4)OCO5)cn23)cc1,0,0.0,
35,Brc1ccc(-c2noc(CCc3ccccc3)n2)o1,0,0.0,
36,Brc1ccc(-c2noc(COc3ccc4c(c3)CCC4)n2)o1,0,0.0,
37,Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,0,0.0,
38,Brc1ccc(C2=Nn3c(nnc3-c3ccncc3)SC2)cc1,0,0.0,
39,Brc1ccc(C2=Nn3c(nnc3-c3n[nH]c4c3CCC4)SC2)cc1,0,0.0,
40,Brc1ccc(C2Nc3cccc4cccc(c34)N2)o1,0,0.0,
41,Brc1ccc(CSc2ncn[nH]2)cc1,0,0.0,
42,Brc1ccc(CSc2ncnc3nc[nH]c23)cc1,0,0.0,
43,Brc1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)cc1,0,0.0,
44,Brc1ccc(CSc2nnc(-c3cnccn3)n2Cc2ccco2)cc1,0,0.0,
45,Brc1ccc(CSc2nnc(Cc3c[nH]c4ccccc34)o2)cc1,0,0.0,
46,Brc1ccc(NCc2nnc3n2CCCCC3)cc1,0,0.0,
47,Brc1ccc(Nc2c3c(nc4ncnn24)CCC3)cc1,0,0.0,
48,Brc1ccc(OCCOCCN2CCOCC2)cc1,0,0.0,
49,Brc1ccc(OCCn2ccnc2)cc1,0,0.0,
50,Brc1ccc(Oc2nnnn2-c2ccccc2)cc1,0,0.0,
51,Brc1ccc(Oc2nsnc2N2CCOCC2)cc1,0,0.0,
52,Brc1ccc2[nH]c3nc(SCCN4CCOCC4)nnc3c2c1,0,0.0,
53,Brc1ccc2[nH]ncc2c1,0,0.0,
54,Brc1ccc2c(c1)C=Nc1c(ncnc1N1CCCCC1)O2,0,0.0,
55,Brc1ccc2c(c1)C=Nc1c(ncnc1N1CCOCC1)O2,0,0.0,
56,Brc1ccc2c(c1)CNc1c(ncnc1N1CCOCC1)O2,0,0.0,
57,Brc1ccc2c(c1)c1nc3ccccc3nc1n2CCN1CCOCC1,0,0.0,
58,Brc1ccc2nc(CSc3ncn[nH]3)cn2c1,0,0.0,
59,Brc1ccc2ncnc(NCc3ccco3)c2c1,0,0.0,
60,Brc1ccc2ncnc(Nc3ccc(N4CCOCC4)cc3)c2c1,0,0.0,
61,Brc1ccc2oc3c(N4CCOCC4)ncnc3c2c1,0,0.0,
62,Brc1cccc(-c2cnc3n2CCCCC3)c1,1,100.0,1.0
63,Brc1cccc(-c2n[nH]c(-c3ccccc3)n2)c1,0,0.0,
64,Brc1cccc(-c2nc(-c3ccncc3)no2)c1,0,0.0,
65,Brc1cccc(-c2nnc(-c3ccccc3)o2)c1,0,0.0,
66,Brc1cccc(-c2nnc(SCc3ccon3)n2-c2ccccc2)c1,0,0.0,
67,Brc1cccc(-c2nnc(SCc3nc4ccccc4[nH]3)o2)c1,0,0.0,
68,Brc1cccc(-c2nnc3n2CCC3)c1,0,0.0,
69,Brc1cccc(-c2nnc3n2CCCCC3)c1,0,0.0,
70,Brc1cccc(-c2nnc3sc(CN4CCC5(CC4)OCCO5)cn23)c1,0,0.0,
71,Brc1cccc(-c2nnc3sc(CN4CCCCC4)cn23)c1,0,0.0,
72,Brc1cccc(-c2nnc3sc(CNC4CCCC4)cn23)c1,0,0.0,
73,Brc1cccc(-c2nnc3sc(CNCc4ccco4)cn23)c1,0,0.0,
74,Brc1cccc(-c2nnco2)c1,0,0.0,
75,Brc1cccc(/C=N\n2cnnc2)c1,0,0.0,
76,Brc1cccc(C2CC(c3ccccc3)n3nnnc3N2)c1,0,0.0,
77,Brc1ccccc1-c1nc(-c2ccccc2)no1,0,0.0,
78,Brc1ccccc1-c1nnc(-c2cccnc2)o1,0,0.0,
79,Brc1ccccc1-c1nnc(COc2ncnc3c2cnn3-c2ccccc2)o1,0,0.0,
80,Brc1ccccc1-c1nnc(CSc2nnc3sc4ccccc4n23)o1,0,0.0,
81,Brc1ccccc1-c1nnc(CSc2nncn2-c2ccccc2)o1,0,0.0,
82,Brc1ccccc1-c1nnc(CSc2nnnn2-c2ccccc2)o1,0,0.0,
83,Brc1ccccc1-c1nnc2sc(-c3ccc4c(c3)OCCO4)nn12,0,0.0,
84,Brc1ccccc1-c1nnc2sc(Cc3ccccc3)nn12,0,0.0,
85,Brc1ccccc1C1=Nn2c(nnc2-c2ccccc2)SC1,0,0.0,
86,Brc1ccccc1CN1CCC(N2CCCCC2)CC1,0,0.0,
87,Brc1ccccc1Cn1c(-c2cncs2)nc2ccccc21,0,0.0,
88,Brc1ccccc1OCCCN1CCOCC1,0,0.0,
89,Brc1cnc(N2CCCC2)nc1N1CCCCC1,0,0.0,
90,Brc1cnc(N2CCCC2)nc1N1CCOCC1,0,0.0,
91,Brc1cnc(N2CCOCC2)nc1N1CCCCC1,0,0.0,
92,Brc1cnn(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c1,0,0.0,
93,C#CC(C)(C)NC(=O)CSc1nc2c(c(=O)n(C)c(=O)n2C)n1CCCC,0,0.0,
94,C#CC(C)(C)NC(=O)c1ccccc1OC,0,0.0,
95,C#CC(C)(CC)NC(=O)Cn1nnc(-c2ccc(S(C)(=O)=O)cc2)n1,0,0.0,
96,C#CC(C)(CC)NC(=O)c1cc(OC)c(OC)c(OC)c1,0,0.0,
97,C#CC(CC)(CC)NC(=O)c1c(C)noc1C,0,0.0,
98,C#CC(CO)N(CCN(Cc1ccccc1)C(C#C)CO)Cc1ccccc1,0,0.0,
99,C#CC1(O)CC(C)N(C)C(C)C1,0,0.0,
100,C#CC1(O)CC(C)NCC1(C)CCC#N,0,0.0,
101,C#CC1CN(Cc2ccccc2)CC(C#C)N1C,0,0.0,
102,C#CCN(C#N)c1nc(NCC)nc(NC(C)C)n1,0,0.0,
103,C#CCN(C)C(C)Cc1ccccc1,0,0.0,
104,C#CCN(C)Cc1ccccc1,0,0.0,
105,C#CCN1C(=O)C(O)(CC(=O)c2cc(OC)ccc2OC)c2ccccc21,0,0.0,
106,C#CCN1C(=O)C(O)(CC(=O)c2ccc3c(c2)OCCO3)c2ccccc21,0,0.0,
107,C#CCN1C(=O)C(O)(CC(=O)c2cccc(OC)c2)c2ccccc21,0,0.0,
108,C#CCN1C(=O)C2(C(C#N)=C(N)OC(C)=C2C(=O)OCc2ccccc2)c2ccccc21,0,0.0,
109,C#CCN1C(=O)C2C(C(=O)NC)C3C=CC2(O3)C1C(=O)NCc1ccc(OC)cc1,0,0.0,
110,C#CCN1CC(C)/C(=N/O)CC1C,0,0.0,
111,C#CCNc1c(C)c(C)nc2ncnn12,0,0.0,
112,C#CCNc1cc(C)nc2ncnn12,0,0.0,
113,C#CCNc1nc(C(C)C)nc2c1nnn2Cc1ccccc1F,0,0.0,
114,C#CCNc1nc(C)nc2c1nnn2Cc1ccccc1F,0,0.0,
115,C#CCNc1nc(CC)nc2c1nnn2Cc1ccccc1F,0,0.0,
