,Overlap %
output_GPCR.csv,37.77777777777778
output_GPCR_2.csv,15.492957746478874
output_GPCR_3.csv,25.806451612903224
output_channel_atp.csv,47.89915966386555
output_cysteine_protease.csv,54.23728813559322
output_ion_channel.csv,31.645569620253166
output_ion_channel_2.csv,44.927536231884055
output_ion_channel_3.csv,28.94736842105263
output_kinase.csv,33.333333333333336
output_serine.csv,26.771653543307085
output_splicing.csv,42.71844660194175
output_transcription.csv,36.486486486486484
output_transcription_2.csv,36.40552995391705
output_transcription_3.csv,37.88819875776397
output_transporter.csv,33.47107438016529
output_ubiquitin.csv,39.09090909090909
output_zinc_finger.csv,33.980582524271846
