,Overlap %
output_channel_atp.csv,32.773109243697476
output_serine.csv,11.811023622047244
output_kinase.csv,41.666666666666664
output_transcription.csv,4.72972972972973
output_transcription_2.csv,2.7649769585253456
output_GPCR_3.csv,7.741935483870968
output_cysteine_protease.csv,28.8135593220339
output_transcription_3.csv,5.590062111801243
output_ion_channel.csv,25.31645569620253
output_ion_channel_2.csv,10.144927536231885
output_GPCR.csv,11.11111111111111
output_splicing.csv,20.388349514563107
output_transporter.csv,7.43801652892562
output_zinc_finger.csv,21.359223300970875
output_ubiquitin.csv,16.363636363636363
output_GPCR_2.csv,18.309859154929576
output_ion_channel_3.csv,16.666666666666668
