,Overlap %,Precision@10,EF@10,BEDROC
output_GPCR.csv,11.666666666666666,0.39779005524861877,0.20341286481688375,0.37315959772632
output_GPCR_2.csv,16.901408450704224,0.5714285714285714,0.45234093637454975,0.5087594954974919
output_GPCR_3.csv,8.387096774193548,0.4550898203592814,0.25723657915677967,0.4866184807930848
output_channel_atp.csv,31.932773109243698,0.5087719298245614,0.24435321432415394,0.5207370674499182
output_cysteine_protease.csv,28.8135593220339,0.16049382716049382,0.07777321094213818,0.15002381742942808
output_ion_channel.csv,25.31645569620253,0.3,0.04772727272727272,0.3364211692707685
output_ion_channel_2.csv,11.594202898550725,0.17777777777777778,0.03798160576684067,0.17513202054867938
output_ion_channel_3.csv,16.666666666666668,0.3728813559322034,0.12092596047589661,0.3342356193025722
output_kinase.csv,37.5,0.08695652173913043,0.01880141010575793,0.09519341315294035
output_serine.csv,11.023622047244094,0.9206349206349206,0.8415979004214298,0.8784368036203953
output_splicing.csv,22.33009708737864,0.10426540284360189,0.012036338665555943,0.11045899158034075
output_transcription.csv,4.72972972972973,0.18867924528301888,0.08926185258431772,0.192211089392448
output_transcription_2.csv,2.7649769585253456,0.4644808743169399,0.35490711578896994,0.4694786608569316
output_transcription_3.csv,5.590062111801243,0.7028985507246377,0.5712007830507405,0.7205218535328411
output_transporter.csv,7.024793388429752,0.14166666666666666,0.041499512466917396,0.12801864456696616
output_ubiquitin.csv,17.272727272727273,0.5206611570247934,0.3679568905900156,0.43025810750940424
output_zinc_finger.csv,20.388349514563107,0.30434782608695654,0.14883676582761252,0.2908500618196252
